Entity,Code,Year,Mobile (BOND Internet Trends (2019)),Desktop/Laptop (BOND Internet Trends (2019)),Other Connected Devices (BOND Internet Trends (2019))
United States,USA,2008,0.3,2.2,0.2
United States,USA,2009,0.3,2.3,0.3
United States,USA,2010,0.4,2.4,0.4
United States,USA,2011,0.8,2.6,0.3
United States,USA,2012,1.6,2.5,0.3
United States,USA,2013,2.3,2.3,0.3
United States,USA,2014,2.6,2.2,0.3
United States,USA,2015,2.8,2.2,0.4
United States,USA,2016,3.1,2.2,0.4
United States,USA,2017,3.3,2.1,0.6
United States,USA,2018,3.6,2,0.7